Statement,Content,Publication,Read_Time,Date,Year,Claps,comments
The Best Blockchain Development Resources On Medium,,BlockCentric,5 min read,"Mar 24,",2020,459,
Beyond Cryptocurrency: Pushing Digital Frontiers with Blockchain,,,8 min read,"Apr 11,",2018,333,5 responses
"Databases and Blockchains, The Difference Is In Their Purpose And Design",,HackerNoon.com,17 min read,"Aug 4,",2018,624,4 responses
3 signs that showed Anthony Scaramucci Bitcoin was ready for institutional investment,,@blockchain,2 min read,Feb 12,,248,5 responses
A NON BLOCKCHAIN-Y PERSON EXPLAINS CIVIL,,Civil,10 min read,"Jul 28,",2018,423,4 responses
Blockchains are not companies,,,5 min read,"Sep 3,",2018,926,3 responses
On Accelerating Blockchain Evolution Using Different Funding and Team Models,,The Internet Computer Review,5 min read,"Aug 26,",2017,749,8 responses
The Next Generation of Blockchain Startups Will Be a Convergence of Utility Tokens and Private Equity,,HackerNoon.com,11 min read,"Oct 18,",2018,3.3K,
The Blockchain Scalability Problem & the Race for Visa-Like Transaction Speed,,Towards Data Science,14 min read,"Jan 30,",2019,463,4 responses
"A Universe Explodes: A Blockchain Book, from Editions At Play",,,8 min read,"Apr 4,",2017,173,17 responses
Blockchain for Human Resources and Recruitment,"In the hiring and recruiting market, the biggest news of the last few months month has been the launch of Google Jobs into the US market. Following the Facebook jobs push, and the purchase of LinkedIn by Microsoft, what is left for the everyone…",,6 min read,"Jul 11,",2017,208,13 responses
Introducing dotmoovs — a sports revolution fueled by a Blockchain and NFT powered platform,,,4 min read,May 10,,2.6K,11 responses
Why I left Microsoft Data & AI team and become a researcher in Blockchain,This would be my first article sharing mostly my thoughts and learnings based on my working experiences in startups and big companies like…,Code Like A Girl,4 min read,"Sep 9,",2018,723,1 response
5 Common Myths about Blockchain and Bitcoin,,Blockchain Bistro,7 min read,"Aug 19,",2018,548,1 response
Identity in Blockchain,"In our last article, we talked about the main entities of a blockchain. We concluded that nodes make up the…",Horizen,2 min read,"Jan 21,",2020,548,
Blockchain Virtual Mining: Proof-of-Anything,,HackerNoon.com,3 min read,"Sep 17,",2017,788,3 responses
Bringing the benefits of DeFi to emerging content creators on Theta blockchain,,Theta Network,3 min read,"Sep 3,",2020,1.3K,1 response
"Coinbase to acquire leading blockchain infrastructure platform, Bison Trails",,The Coinbase Blog,3 min read,Jan 20,,359,
10 Best Blockchain Courses and Certification in 2021,,Javarevisited,13 min read,"Oct 10,",2020,315,4 responses
5 Potential Use Cases for Blockchain in Agriculture,,Future of Agriculture,4 min read,"Jan 4,",2018,317,4 responses
"Announcing VeChain Sync 2 — Unlocking Revolution For The Entire Blockchain dApp Industry, Enabling Seamless User…",,VeChain Foundation,5 min read,Jan 27,,1K,3 responses
Theta Network Launches in Japan with LINE Blockchain THETA.tv app,,Theta Network,9 min read,Mar 9,,1K,1 response
Blockchain Adoption and Digital Privacy,"When I taught strategy to MBA students, an important concept for students to understand…",MIT Cryptoeconomics Lab,4 min read,"May 7,",2018,1.5K,7 responses
Restart Energy A Decentralized and Delocalized Electrical Energy Supply Platform On The Blockchain,Restart Energy is an advanced energy providers who is now building a worldwide decentralized and delocalized electrical energy supply platform that encompasses…,HackerNoon.com,9 min read,"Feb 12,",2018,551,
"Bitcoin Near $50,000 This is Right Time To Invest",,The Better Life,4 min read,Aug 26,,5,2 responses
"If you had the supernatural power to make a piece of text last forever, what would it be? Our answer is A Declaration…",,LikeCoin — Decentralized Publishing Infrastructure,6 min read,Aug 27,,1,
Structure Finance — Telegram AMA — August 19,"On Thursday, August 19, we had the pleasure to welcome to our Telegram chat:",GAINS Associates,10 min read,Aug 28,,50,
Can Web 3.0 Awaken the Internet’s True Potential? (Part 3),,OntologyNetwork,4 min read,Aug 27,,,
SolidProof Offers Free Audit for DeFi projects in a Community Tournament,,The Capital,3 min read,Aug 27,,1,
Konstellation Ask Me Anything Summary (AMA) — August 25th 2021,,,5 min read,Aug 28,,,
3 Ways Technology Can Help Build a Better World,,Spirit of Crypto,1 min read,Aug 27,,1,
Ethermon Community Round Up August 27th 2021,Ethermon community continues to thrive and show strong signs of growth across the…,Ethermon,4 min read,Aug 28,,,
The Zeitgeist Behind DeWi and the Path Towards a Secure Data Chain,,,5 min read,Aug 28,,,
NFTPad x 2Crazy — STRATEGIC PARTNERSHIP,We are delighted to announce that NFTPad has entered into a strategic partnership with…,,2 min read,Aug 28,,50,
How to Participate in Blockchain Governance in Good Faith (and with Good Manners),,,3 min read,"Oct 22,",2018,895,5 responses
Blockchain: Business Processes of the Future,Companies currently operate entire departments such as payroll or invoicing…,ConsenSys Media,4 min read,"Oct 3,",2017,617,2 responses
Intro to Crypto by Blockchain.com,People new to the world of cryptocurrency and blockchain technology often ask us where they can…,@blockchain,3 min read,"Mar 27,",2020,307,1 response
hash สมการเบื้องหลัง bitcoin (blockchain),,Dcen.io,4 min read,"Dec 14,",2017,270,1 response
"Why Blockchains Don’t Suck, and the Perils of Distributed Databases",,,13 min read,"Jul 13,",2018,784,2 responses
Bitcoin was given to us by aliens and we’re a node in a Universal Proof of Stake Blockchain,,,2 min read,"Nov 10,",2017,461,4 responses
WebAssembly & The Future of Blockchain Computing,,,6 min read,"Sep 6,",2018,732,1 response
,,StarkWare,3 min read,"May 14,",2018,595,7 responses
The blockchain economy: what should the government do?,,Cryptoeconomics Australia,10 min read,"Nov 11,",2017,546,3 responses
A Guide for Blockchain Usage Metrics,,,3 min read,"Jun 3,",2018,550,3 responses
Cashflow on the Blockchain Part I: Tokenized Debt and Security Tokens,,HackerNoon.com,5 min read,"Dec 11,",2018,773,1 response
Blockchain is inventing the Internet of Trusted Things,,ICO Alert,5 min read,"Jan 25,",2018,604,1 response
The Money of the Future will be built from Blockchain and AI Lego,,Fetch.ai,5 min read,"Jul 29,",2020,3K,4 responses
Forbes Blockchain 50 Data Deep Dive,Forbes recently published the second edition of its Blockchain 50. The list aims to capture the…,Blockdata,4 min read,"Mar 4,",2020,1.1K,3 responses
Blockchain fees are broken. Here are 3 proposals to fix them.,,HackerNoon.com,19 min read,"Jun 3,",2019,901,8 responses
"A.I. Is Awesome, Blockchain Is a Powerhouse. But Here’s What Combining Them Could Do",,Inc Magazine,5 min read,"May 12,",2018,354,1 response
Asylo and its Place Next To The Blockchain,"Privacy is well understood to be a problem in the blockchain ecosystem, where, by…",Google Cloud - Community,7 min read,Jan 19,,620,2 responses
Bitcoin’s implementation of Blockchain,We have already covered the basics of Blockchain in our previous post. Blockchain is a…,All Things Ledger,7 min read,"Dec 8,",2016,501,3 responses
Enjin Beam: The Fastest Way to Receive Cryptocurrencies & Blockchain Assets,,Enjin,5 min read,"Nov 21,",2018,1.7K,2 responses
[ANN] MediBloc to build its own blockchain platform and conduct 1:1 AIRDROP of ERC20 token!,,MediBloc,3 min read,"May 21,",2018,1.4K,2 responses
Cross-Chain Bridges: Paving the Way to Internet of Blockchains,,POA Network,7 min read,"Nov 15,",2017,756,
Blockchain: what are the opportunities for Procurement?,,Procurement Tidbits,12 min read,"Jul 17,",2017,347,4 responses
How to avoid crypto scams on social media,"Social media is a great way to connect with others, stay informed and express yourself…",@blockchain,2 min read,"Apr 8,",2020,301,14 responses
,,,27 min read,"Feb 24,",2016,327,5 responses
War of Crypto: Epic Blockchain Game Powered by Enjin,,Enjin,4 min read,"May 15,",2018,1.7K,2 responses
"Announcing Cahrenheit, a Blockchain-Based Ecosystem for the Automotive Industry Powered by the VeChainThor Blockchain",,,6 min read,"Jul 19,",2018,1.2K,3 responses
Bitcoin & Blockchain explained for normal people,,,7 min read,"Apr 6,",2018,379,8 responses
Nimiq Makes Fiat Currencies Blockchain-Compatible,,Nimiq,5 min read,"Feb 28,",2019,1.6K,
Beam Blockchain Stop Event 01/21/2019 — Post-Mortem,,BEAM Privacy,2 min read,"Jan 21,",2019,1.7K,
Trust Platform — Paving a Path to Mass Adoption of Blockchain,,,4 min read,"Jun 3,",2018,704,4 responses
Bluzelle — How bank collaborations with blockchain startups serve both well,,The Blueprint by Bluzelle,4 min read,"Nov 16,",2017,353,1 response
Blockchain as a Data Structure,The first use case for blockchain technology is digital money. To have a monetary system without central…,Horizen,10 min read,"Aug 21,",2020,271,
Blockchains for Big Data,,Ocean Protocol,7 min read,"Nov 18,",2016,366,8 responses
Education in Blockchain and DLT: How to Acquire the Necessary Knowledge with a Workload of 10,,,15 min read,"Oct 16,",2019,480,4 responses
AWS Services Enable One-Click VeChainThor Blockchain Deployment for Enterprises,,,3 min read,"Feb 18,",2019,1.7K,1 response
Blockchain Ecology: The Key to a Prosperous Economic Future,,INSURGE intelligence,7 min read,"Dec 15,",2017,626,8 responses
What I’ve Learned as a Research Scholar at UC Berkeley Blockchain Lab,,The Startup,6 min read,"Jul 31,",2019,798,1 response
The Power of Blockchain Based Games Lies in Third Party Support,,The B.C.U. Times,4 min read,"Jun 29,",2019,260,
Blockchain is Reshaping the Banking Sector,"The banking industry is strictly regulated in all jurisdictions, while banking sector…",UniversaBlockchain,6 min read,"Jun 6,",2018,1K,1 response
Hyperledger : Linux แห่งโลก Blockchain,,,3 min read,"Dec 29,",2017,283,
"Announcing BancorX, the First Cross-Blockchain Decentralized Liquidity Network",,Bancor,4 min read,"Sep 20,",2018,2.2K,4 responses
Flaws of Blockchains and Perspectives on Cryptocurrencies,,Holochain,5 min read,"Mar 16,",2016,430,7 responses
The blockchain-enabled intelligent IoT economy,,,13 min read,"Oct 15,",2018,612,
Blockchain Blind Spots,,,2 min read,"Apr 1,",2018,536,6 responses
The Future of Freelancing on the Blockchain,"I’ve been working as a freelancer since I was 16, My first job was as PHP Developer…",,3 min read,"Oct 21,",2017,587,2 responses
Electroneum solves no problem in the blockchain space,,,2 min read,"Oct 8,",2017,510,17 responses
10 Ways Blockchain Is Revolutionizing Smart Cities,,Smartcity World,5 min read,"Jun 30,",2018,280,3 responses
"Avalanche to Unveil Novel Blockchain Features with Apricot, its First Major Upgrade",,Avalanche,3 min read,"Nov 14,",2020,1.3K,1 response
What is blockchain and what are some applications of blockchain?,"Blockchain is the technology behind bitcoin, ether, and most other cryptocurrencies. Bitcoin is…",,4 min read,"Aug 23,",2017,469,2 responses
How Blockchains Will Become Targets for Hostile Takeovers,,,4 min read,"Apr 17,",2018,369,6 responses
A Technical Overview of the Lamden Tau Blockchain,"EDITORS NOTE (September 1, 2020): This information is no longer valid. Please see: https://blog.lamden.io/a-complete-overview-of-the-lamden-suite-2eb43c730b40 for a more up to date picture. This article serves as a historical artifact so you…",Lamden,8 min read,"Nov 16,",2017,748,7 responses
Blockchain-Powered Ads To Disrupt Digital Marketing,,The Startup,14 min read,"Aug 2,",2018,633,8 responses
The Content is the Platform: why we bought Pixowl and how the blockchain matters,,,9 min read,"Aug 29,",2018,2.2K,2 responses
1st Anniversary and Blockchain Cuties Universe,"Dear friends, followers and Cutieneers,Today is a very special day for…",Blockchain Cuties Universe,5 min read,"Dec 29,",2018,3K,4 responses
Your Tokens Are Super Safe With Enjin Wallet,"Cutieneers, you know we are on a mission to take over the world. One cutie at a…",Blockchain Cuties Universe,2 min read,"Oct 25,",2018,3.3K,5 responses
"If you understand Hash Functions, you’ll understand Blockchains",,Decentralize.Today,3 min read,"Nov 29,",2016,281,3 responses
How to create certificates on the Ethereum blockchain — Part 1,,Coinmonks,6 min read,"Jul 21,",2018,519,5 responses
How the Blockchain Will Conquer the World and Why History Shows Bitcoin Might not be The Revolution we Assume,,HackerNoon.com,5 min read,"Jan 15,",2018,575,7 responses
La Revolución del Blockchain y el Gobierno de las Organizaciones Descentralizadas,,Astec,6 min read,"Nov 11,",2017,257,1 response
Blockchain y el Nuevo Modelo de Financiamiento de la Internet Descentralizada.,,Astec,5 min read,"Nov 12,",2017,218,
Will blockchain “destroy” human trust?,,,5 min read,"Nov 6,",2017,456,3 responses
8 Free Courses to Learn Blockchain Development in 2021,,Javarevisited,10 min read,"May 18,",2020,474,2 responses
Collaboration 2.0: The Future of Work is on the Blockchain,,ConsenSys Media,6 min read,"Mar 5,",2018,661,2 responses
Blockchain Scaling Solutions: Cosmos and Plasma,,Tendermint Blog,19 min read,"Sep 24,",2018,493,3 responses
Snovio Wants To Change The Lead Generation Process For All Businesses Using Blockchain Technology,,,3 min read,"Jan 2,",2018,158,
Making Blockchain Technology Accessible to Business — The Launch of Horizen Labs,,,3 min read,"Apr 11,",2019,600,1 response
SwissBorg’s First Referendum on the Blockchain: Results & Promise,,SwissBorg DAO,3 min read,"Apr 10,",2018,1K,1 response
The Ethereum Blockchain and ERC20 Tokens: Technical Challenges and Solutions for 2019 and Beyond,,Ethex,6 min read,"Oct 25,",2018,406,
Heterodox Economics And The Rise Of The Blockchains,,,33 min read,"Mar 3,",2019,591,4 responses
The “Fast” & “Mainstream” Adoption of AI & Blockchain,,HackerNoon.com,5 min read,"Jun 10,",2018,552,1 response
Simultaneous Backend & Frontend Development: Combining the Best of Blockchain & Gaming.,,,4 min read,Feb 25,,3.3K,
"Blockchain is a mean, not an end.",,,2 min read,"Jun 15,",2018,1.6K,2 responses
"VeChain Becomes The First 5-Star-Rated Blockchain Service Provider In The World, Certified By TÜV Saarland, A…",,VeChain Foundation,4 min read,"Dec 22,",2020,781,2 responses
ทำไม Hashing Algorithm ใน Blockchain ถึงสำคัญ,,Dcen.io,4 min read,"May 5,",2018,415,1 response
"A Complete List of Blockchain, Crypto and ICO Resources",,,9 min read,"Oct 13,",2017,384,4 responses
Fat Protocols Vs. DApps: Creating Long Term Value on the Public Blockchain,,HackerNoon.com,9 min read,"May 2,",2018,706,5 responses
Anti-fragile Blockchain,,,5 min read,"Jun 4,",2016,384,1 response
Three Predictions on Blockchain & Bitcoin,,,6 min read,"Jan 3,",2018,868,4 responses
Viacoin Investment Review,,,8 min read,"Jun 13,",2017,385,3 responses
Deloitte: 95% of Companies Surveyed Are Investing in Blockchain Tech,,ConsenSys Media,2 min read,"Jan 16,",2019,820,2 responses
"Blockchain Transmission Protocol (BTP) Architecture, Economics, and Key Differentiators",,Hello ICON World,5 min read,Mar 25,,1K,4 responses
"Theta Labs launches the Blockchain Advisory Council, led by Steve Dakh",,Theta Network,2 min read,"Mar 2,",2018,1.1K,3 responses
Virtual Real Estate — A virtual property that can be owned on the blockchain!,,CosmosCR,4 min read,"Dec 18,",2018,729,2 responses
BLOCKCHAIN + GAMING + EARN FREE CRYPTO (AIR MINING) + PASSIVE INCOME GENERATION + DECENTRALIZED ADVERTISING ECONOMY,,Worldopo,4 min read,"Nov 25,",2018,446,2 responses
QTUM: Building a Better Blockchain Governance,Bitcoin has a governance problem.,HackerNoon.com,8 min read,"Jul 4,",2017,247,76 responses
Connect To All Blockchain Environments Through A Single Chainlink Integration,,,9 min read,"Jul 17,",2020,811,4 responses
Blockchain is disrupting the $700 billion remittance industry,,,4 min read,"Mar 7,",2019,981,3 responses
Binance will support TRON blockchain upgrade and token migration,,TRON,1 min read,"May 9,",2018,765,
Blockchain y Justicia Descentralizada — Conferencia en Colombia,,Astec,1 min read,"Sep 18,",2019,108,1 response
A closer look at Pundi X Blockchain-based point of sale (POS) system,,Pundi X,4 min read,"Jul 23,",2018,887,3 responses
A Tactical Guide to Investing in Blockchain Assets,,The Control,5 min read,"Jan 26,",2017,98,1 response
Recreating Google’s PageRank on The Bitcoin Blockchain,,,11 min read,"Jan 15,",2016,86,9 responses
Boston Blockchain Guide,,,6 min read,"Nov 2,",2017,530,5 responses
$10K — The Bitcoin Price Streak Continues,,@blockchain,9 min read,"Oct 13,",2020,162,2 responses
Stobox partnered with a blockchain advisory firm Marengo Knoll,,,1 min read,Jan 25,,2.1K,67 responses
Mercor Finance Adds Blockchain Veteran Deeban Ratneswaran As a Strategic Advisor,,,2 min read,Jun 8,,1.6K,
You Can Make Money Right Now Playing Games on the Blockchain,,ConsenSys Media,5 min read,"Jan 31,",2019,743,6 responses
The top 10 blockchain trends for 2021,These 10 blockchain trends will take center stage in 2021. From DeFi to IOTA to supply chain…,Coinmonks,13 min read,Feb 26,,231,2 responses
7 Big Obstacles To Mass Adoption Of Blockchain Technology,,The Crypto Times,7 min read,"Mar 29,",2018,559,5 responses
Binance Leverages the Elrond Blockchain for Fast & Inexpensive BUSD Stablecoin Transfers,,Elrond Network,4 min read,"Apr 24,",2020,1.8K,3 responses
Origin (OGN) and Enjin Coin (ENJ) now available on the Blockchain.com Exchange,,@blockchain,4 min read,"Oct 15,",2020,322,3 responses
Populous World successfully closes world’s first invoice sale on the blockchain.,,Populous World,2 min read,"May 30,",2018,991,1 response
When the Game Stops,,@blockchain,13 min read,Feb 8,,258,3 responses
Introducing Guild of Guardians — the world’s first AAA blockchain RPG,,,4 min read,Mar 4,,628,8 responses
Blockchain Powered Platforms: Tokens,,Stories of Platform Design,10 min read,"Oct 12,",2017,379,1 response
How to quickly buy XLM,"The crypto markets are moving, and you can get in early to the next bitcoin.",@blockchain,1 min read,"Dec 24,",2020,134,5 responses
AppCoins: The First Blockchain-Based Protocol For The App Stores,,,3 min read,"Oct 11,",2017,1.1K,4 responses
[ANN] X Blockchain Meetup 2017,,Pundi X,1 min read,"Oct 9,",2017,16,2 responses
Blockchain as a Data Structure,Welcome to the very first article in the technology section of our Horizen Academy. The first two…,Horizen,2 min read,"Jan 18,",2020,453,
Quant Network’s Overledger: Part One Blockchain Fundamentals,,,13 min read,"Mar 26,",2019,1.3K,1 response
Blockchain Programming for New Developers — II,,,6 min read,"Nov 16,",2018,470,1 response
Capture the Coin — Blockchain Category Solutions,,The Coinbase Blog,11 min read,"Dec 6,",2019,148,
Identity on Blockchain (Part I),,FACILELOGIN,24 min read,"Sep 17,",2017,365,3 responses
How Blockchain Could Kill Both Cable and Netflix,,Theta Network,5 min read,"Jan 30,",2018,834,2 responses
Alexander Borodich: Blockchain companies are replacing SWIFT,"The Russian Universa Blockchain Platform for business has been live for only 9 months. In this time the project managed to raise $28,5 mln during the Token Sale, create blockchain which is “fast and cheap” and make…",UniversaBlockchain,7 min read,"Apr 6,",2018,1K,3 responses
NFT — An Introduction To The Blockchain For Photographers And Creatives,,High-Definition Pro,10 min read,Mar 1,,464,1 response
Step by step to convert USDT from ERC-20 Blockchain to Solana Blockchain using Sollet wallet,,,3 min read,May 28,,149,7 responses
Trust | Want | Need,,@blockchain,11 min read,Mar 5,,330,6 responses
"Token Economy 101, or why Blockchain-powered decentralized networks are important",,,13 min read,"Jun 6,",2017,369,3 responses
The One Thing Missing from the ERC 721 Standard for Digital Collectibles on the Blockchain,,HackerNoon.com,8 min read,"Sep 2,",2018,428,7 responses
How Blockchain-Based Bounties Can Reinvent Our Social Impact Systems and Incentivize Action,,Bounties Network,7 min read,"Apr 12,",2018,615,4 responses
Understanding The Gold Rush of Scalable and Validated Data powered by Blockchain and Decentralized AI,,HackerNoon.com,14 min read,"Mar 11,",2018,1.2K,
Sell in May and Go Away?,,@blockchain,20 min read,"May 8,",2020,388,2 responses
Quantum Computing: Is it the end of blockchain?,,HackerNoon.com,6 min read,"Jun 6,",2018,510,3 responses
5 Governments That Actually Support Blockchain Innovation,,SingularDTV,4 min read,"Sep 11,",2017,565,5 responses
"Meet Mappy, Happy, and Dappy: Personas for Blockchain Product Management",,HackerNoon.com,10 min read,"Jan 24,",2019,1.6K,5 responses
"The Network of Networks, Scalable Interoperability to Unleash the True Potential of Blockchain",,,16 min read,"Feb 23,",2020,2.4K,1 response
What Is a Blockchain?,,MIT Technology Review,6 min read,"Apr 23,",2018,380,
All Blockchain Magic comes with a Price,,,5 min read,"Mar 1,",2020,1.1K,3 responses
An Artist’s Dictionary for the Blockchain,,XLNT,12 min read,"Apr 3,",2018,473,
N1CE: A blockchain experts community,The main purpose of the N1CE project is to create a community-driven web platform to empower…,,3 min read,Jun 21,,559,6 responses
Wasm for Blockchain 2019,14 hours of content compressed into a 20 min read.,NEAR Protocol,21 min read,"Jul 11,",2019,628,
AllianceBridge Introduces Seamless and Fully Decentralized Interoperability Between Blockchains,,,7 min read,Jul 12,,2.2K,1 response
Hyperledger — Chapter 3| When to use the Blockchain Technology,In the 90s adding a “.com” to your company name had a positive impact on your share prices. 74% to be precise in the first 10 days of announcement*. Something similar is happening in the decentralised world. This post will…,The Startup,7 min read,"Apr 26,",2018,415,2 responses
Using Blockchain Technology to Boost Cyber Security,,HackerNoon.com,8 min read,"Aug 17,",2017,425,2 responses
Blockchain Enabled Carbon Credit Markets,,,17 min read,"Sep 12,",2019,432,
Smart Dubai — World’s First Blockchain-powered Government Initiative,,Technicity,4 min read,"Sep 25,",2018,544,6 responses
Trading the First Tomatoes on the Blockchain,,Bancor,3 min read,"Aug 9,",2018,1.2K,5 responses
The Railway Transport Moves Towards Using Blockchain Technology,"On 15 February, within the Russian Investment Forum in Sochi, a memorandum of cooperation was signed between Novotrans, one of the largest railway rolling stock operators in Russia and the CIS, and Universa Blockchain…",UniversaBlockchain,2 min read,"Feb 19,",2018,1.1K,
Some thoughts on blockchain governance,,,1 min read,"Jun 1,",2017,115,2 responses
A Summary of My Work On Blockchain-Based Economic Coordination,,,3 min read,"Feb 17,",2017,255,
Blockchain: quel impact pour le secteur de la gestion d’actifs?,,Ledgity,3 min read,"Oct 25,",2018,403,
Blockchain in Education,"In all of the world’s developed countries, the field of education is a central focus. This is due to the fact that the future of other important areas, including science, medicine, agriculture, industry and almost all others, is dependent on the country’s education levels.",UniversaBlockchain,6 min read,"May 23,",2018,431,4 responses
What is a blockchain operating system and what are the benefits? Introducing Overledger from Quant Network.,,,16 min read,"Sep 8,",2019,1.4K,
Our decentralised future? A blockchain primer,The blockchain winter is thawing. We offer an accessible introduction to an…,,17 min read,"Nov 25,",2019,346,
La Regulación del Blockchain y sus Desafíos,,Astec,1 min read,"Feb 18,",2019,96,
Blockchain @ Berkeley + IOTA,,IOTA,8 min read,"May 29,",2017,612,3 responses
Introducing Blockchain for India — $50 Million fund backed by WazirX & Binance,,WazirX,2 min read,"Mar 17,",2020,276,3 responses
#NeverSell — Borrow USD with your Crypto in the Blockchain.com Wallet,,@blockchain,2 min read,"Mar 10,",2020,288,2 responses
2017 Was the Year of Blockchain Awareness. 2018 Is the Year of Adoption,,,5 min read,"Jan 14,",2018,473,
What makes blockchains secure? (2/5),"In the first post of this series, we discussed the definition of Nakamoto consensus and how the…",Gauntlet,17 min read,"May 23,",2018,336,2 responses
The Power of Blockchain & Its Compelling Use Cases,,Technicity,7 min read,"Sep 28,",2018,621,4 responses
Blockchains and constitutional catallaxy: an EOS case study,,,4 min read,"Sep 5,",2018,408,1 response
The End-Games of Blockchain,,,5 min read,"May 12,",2018,498,3 responses
"Making Blockchain Mainstream: Tokoin Campus Meetups & TokoKnights, Educating 67% Who…",,,4 min read,"Feb 24,",2020,248,
How Blockchain Technology can transform the healthcare sector?,,The Startup,9 min read,"Apr 27,",2018,485,5 responses
"US$150,000 in prizes for Alpha Inaugural event in “REVV Racing” blockchain game by Animoca Brands",,,5 min read,Jul 9,,645,1 response
Exporting and Analyzing Ethereum Blockchain,There are many cases when you want to export Ethereum data to the csv format and run…,,7 min read,"May 10,",2018,299,11 responses
"VeChain, Together With DNV, Enables Renji Hospital To Launch The World’s First Blockchain-based IVF Service App —…",,VeChain Foundation,5 min read,Jun 2,,565,2 responses
Why We’re Introducing the Theta Token & Blockchain to Revolutionize Video Delivery,"I remember a particular commercial from the 1990’s when the Web was young, and video over the internet was a thing of the near future. In this commercial, a traveler pulls up to a lonely…",Theta Network,6 min read,"Nov 21,",2017,807,1 response
Blockchain Platforms: Should I Build on Bitcoin or Ethereum or Cardano or…,,The Challenge,4 min read,"Aug 17,",2019,331,1 response
"Blockchain Scaling Solutions Explained: The Lightning Network, Raiden Network, and Plasma",,ICO Alert,5 min read,"Jan 10,",2018,323,3 responses
The Blockchain in Education,,Learning Machine is now Hyland Credentials,8 min read,"Jan 30,",2018,232,1 response
Berkeley Blockchain Xcelerator Selects Several Polkadot-related Projects for the 2021 Cohort,,Polkadot Network,3 min read,Mar 29,,251,1 response
On usability of blockchain applications,,NEAR Protocol,9 min read,"Apr 18,",2019,729,1 response
POLKER — First Blockchain Online Poker Game Built On Unreal Engine 4,,,4 min read,May 13,,2K,14 responses
Decentralization and Blockchain — Why You Should Choose A New Ride-Hail Option,,DRIFE,3 min read,Jul 22,,377,
A new and improved Blockchain.com Wallet,"Over the past few months, we’ve worked to create new products and features that make the…",@blockchain,3 min read,Jul 28,,317,4 responses
The Dangers of Blockchain-Enabled “Immunity Passports” for COVID-19,,Berkman Klein Center Collection,16 min read,"May 18,",2020,416,3 responses
"To Understand Blockchains, You Should Understand Cryptographic Hashes First",,Vandal Press,9 min read,"Sep 19,",2017,287,
OpenZeppelin: a New Standard for Secure Blockchain Applications,"Blockchain technology holds the great promise of enabling decentralized protocols, applications and organizations. Much of this enthusiasm is driven by Bitcoin and Ethereum, the main software platforms where these are…",Zeppelin Blog,3 min read,"Sep 15,",2016,283,4 responses
Forget erasure: why blockchain is really incompatible with the GDPR,,Berkman Klein Center Collection,6 min read,"Sep 23,",2019,270,8 responses
Everything you need to know about Blockchain: Part One,,The Startup,7 min read,"Jan 16,",2018,381,
VeChainThor Blockchain Empowers the Lifecycle Management of Premium Beef Produced in Australia With VeChain ToolChain…,,VeChain Foundation,5 min read,"Jul 24,",2019,850,2 responses
A Framework for Blockchain Investing,My roots in the crypto community go way back to a significant stint at RSA Security where I had…,Applied Crypto Ventures,13 min read,"Dec 12,",2017,238,1 response
A Deeper Look Into Microsoft’s Stack to Bring Tokenization to Enterprise Blockchain Applications,,Coinmonks,6 min read,"Nov 6,",2019,190,
What is the blockchain and why it goes way beyond Bitcoin?,,,6 min read,"Jul 3,",2018,787,
Matrix and the Blockchain Based Smart Hospital Program,,,4 min read,"Jul 25,",2020,1K,1 response
2020 US Crypto Taxes,,@blockchain,3 min read,Mar 11,,218,7 responses
2021 Hashed Blockchain & Crypto Market Predictions,,Hashed Team Blog,12 min read,Jan 7,,294,
Reef Finance releases Reef Chain Testnet a blockchain for DeFi,,Reef Finance,3 min read,Mar 31,,624,1 response
The Most Significant Future Risk Around Blockchain: ECDSA … and Meet IOTA,,ASecuritySite: When Bob Met Alice,8 min read,"Oct 3,",2018,1.1K,4 responses
Trust-less governance is the killer app of blockchain technology,,Mission.org,9 min read,"Jan 2,",2018,444,1 response
Blockchain — solution for the renewable energy market.,,HackerNoon.com,4 min read,"Oct 13,",2017,233,7 responses
Aave: The Future of Banking,,Coinmonks,9 min read,Jun 16,,495,
Blockmason Link — смарт-контракты для каждого.,,,4 min read,"Mar 14,",2019,914,
CIRUS Purpose-Built Dual-IDO on ETH L2 — August 17th,,The Cirus Foundation,2 min read,Aug 10,,86,
Creating a simple Ethereum Smart Contract in Golang,,Towards Dev,4 min read,Mar 14,,127,
Abridged 2020,"To our supportive community, here’s a little summary of where we came from, what we’re building, why we’re building it, and the road…",Abridged,6 min read,"Jan 11,",2020,265,
Announcing the Umee Testnet on #WaveDay!,We are preparing for a testnet launch which will include opportunities for Community…,Umee,2 min read,Jul 26,,187,
THE LANDLORDS — Vol. 004,,League of Kingdoms Official Blog,3 min read,May 6,,75,
My 10 Best Friends Are Silicon Valley ₿illionaires. And They Love The Bitcoin Network. [edited],"Hours felt like days. Days felt like months. I couldn’t sleep, I could barely eat — as wild as that may sound, fellow Entrepreneurs are likely very familiar with the…",,5 min read,"Jun 29,",2017,13,2 responses
How to Create Your Own Real-Time Data Stream in Less Than 10min with no Code Needed,,Streamr,7 min read,"Dec 9,",2019,224,
Why is Cardano Increasing so Much? Is it Overvalued?,,,5 min read,Aug 14,,33,3 responses
Lanit Puts Faith in Blockchain,,UniversaBlockchain,3 min read,"Mar 20,",2018,1K,
